packet; cpu; lpm; IRQ; transmit; listen
1;1481;349482;0;58;36
2;1896;381835;0;116;32746
3;2323;414176;0;174;65456
4;2750;446517;0;232;98166
5;3177;478858;0;290;130876
6;3606;511197;0;348;163586
7;4035;543536;0;406;196296
8;4464;575875;0;464;229006
9;4894;608214;0;522;261716
10;5323;640553;0;580;294426
11;5755;672889;0;638;327136
12;6186;705225;0;696;359846
13;6618;737561;0;754;392556
14;7050;769897;0;812;425266
15;7482;802233;0;870;457976
16;7914;834569;0;928;490686
17;8346;866905;0;986;523396
18;8778;899241;0;1044;556106
19;9213;931574;0;1102;588816
20;9648;963907;0;1160;621526
21;10083;996240;0;1218;654236
22;10522;1028570;0;1276;686946
23;10963;1060897;0;1334;719656
24;11351;1093277;0;1392;752366
25;11665;1125731;0;1450;785076
26;11978;1158185;0;1508;817786
27;12293;1190639;0;1566;850497
28;12608;1223092;0;1624;883207
29;12923;1255545;0;1682;915917
30;13238;1287998;0;1740;948627
31;13553;1320451;0;1798;981337
32;13868;1352904;0;1856;1014047
33;14186;1385354;0;1914;1046757
34;14504;1417804;0;1972;1079467
35;14823;1450254;0;2030;1112177
36;15141;1482704;0;2088;1144887
37;15459;1515154;0;2145;1177597
38;15777;1547604;0;2202;1210307
39;16094;1580054;0;2259;1243017
40;16412;1612504;0;2316;1275727
41;16730;1644954;0;2373;1308437
42;17048;1677404;0;2430;1341147
43;17366;1709854;0;2487;1373857
44;17684;1742304;0;2544;1406567
45;18002;1774754;0;2601;1439277
46;18320;1807204;0;2658;1471987
47;18638;1839654;0;2715;1504697
48;18956;1872104;0;2772;1537406
49;19275;1904554;0;2829;1570115
50;19703;1936894;0;2886;1602824
51;20147;1969218;0;2943;1635533
52;20591;2001542;0;3000;1668243
53;21034;2033866;0;3057;1700953
54;21478;2066190;0;3114;1733663
55;21922;2098514;0;3171;1766373
56;22366;2130838;59;3228;1799083
57;22813;2163159;185;3285;1831793
58;23262;2195478;313;3342;1864503
59;23711;2227797;440;3399;1897213
60;24160;2260116;567;3456;1929923
61;24609;2292435;694;3513;1962633
62;25058;2324754;821;3570;1995343
63;25508;2357073;948;3627;2028053
64;25957;2389392;1075;3685;2060763
65;26409;2421708;1202;3743;2093473
66;26861;2454024;1329;3801;2126183
67;27312;2486340;1456;3859;2158893
68;27764;2518656;1583;3917;2191603
69;28216;2550972;1710;3975;2224313
70;28668;2583288;1837;4033;2257023
71;29120;2615604;1964;4091;2289733
72;29572;2647920;2091;4149;2322443
73;30024;2680236;2218;4207;2355153
74;30476;2712552;2345;4265;2387863
75;30928;2744868;2472;4323;2420573
76;31380;2777184;2599;4381;2453283
77;31833;2809500;2726;4439;2485993
78;32285;2841816;2853;4497;2518703
79;32737;2874132;2980;4555;2551413
80;33189;2906448;3107;4613;2584123
81;33641;2938764;3234;4671;2616833
82;34092;2971080;3361;4729;2649543
83;34544;3003396;3487;4787;2682253
84;34996;3035712;3614;4845;2714963
85;35448;3068028;3741;4903;2747673
86;35900;3100344;3868;4961;2780383
87;36352;3132660;3995;5019;2813093
88;36804;3164976;4122;5077;2845803
89;37256;3197292;4249;5135;2878513
90;37708;3229608;4376;5193;2911223
91;38160;3261924;4503;5251;2943933
92;38612;3294240;4630;5309;2976643
93;39065;3326556;4757;5367;3009353
94;39517;3358872;4884;5425;3042063
95;39969;3391188;5011;5483;3074773
96;40420;3423504;5138;5541;3107483
97;40872;3455820;5265;5599;3140193
98;41324;3488136;5392;5657;3172903
99;41776;3520452;5519;5715;3205613
100;42228;3552768;5646;5773;3238323
101;42683;3585081;5773;5831;3271033
102;43138;3617394;5900;5889;3303743
103;43593;3649707;6027;5947;3336453
104;44048;3682020;6154;6005;3369163
105;44503;3714333;6281;6063;3401873
106;44958;3746646;6408;6121;3434583
107;45414;3778959;6535;6179;3467293
108;45869;3811272;6662;6237;3500003
109;46324;3843585;6789;6295;3532713
110;46779;3875898;6916;6353;3565423
111;47233;3908211;6964;6411;3598133
112;47688;3940524;6964;6469;3630843
113;48143;3972837;6964;6527;3663553
114;48598;4005150;6964;6585;3696263
115;49053;4037463;6964;6643;3728973
116;49508;4069776;6964;6701;3761683
117;49963;4102089;6964;6759;3794393
118;50418;4134402;6964;6817;3827103
119;50873;4166715;6964;6875;3859813
120;51328;4199028;6964;6933;3892523
121;51784;4231341;6964;6991;3925233
122;52239;4263654;6964;7049;3957943
123;52694;4295967;6964;7107;3990653
124;53149;4328280;6964;7165;4023363
125;53603;4360593;6964;7223;4056073
126;54058;4392906;6964;7281;4088783
127;54513;4425219;6964;7339;4121493
128;54968;4457532;6964;7397;4154203
129;55423;4489845;6964;7455;4186913
130;55878;4522158;6964;7513;4219623
131;56333;4554471;6964;7571;4252333
132;56788;4586784;6964;7629;4285043
133;57243;4619097;6964;7687;4317753
134;57698;4651410;6964;7745;4350463
135;58154;4683723;6964;7803;4383173
136;58609;4716036;6964;7861;4415883
137;59064;4748349;6964;7919;4448593
138;59518;4780662;6964;7977;4481303
139;59973;4812975;6964;8035;4514013
140;60428;4845288;6964;8093;4546723
141;60883;4877601;6964;8151;4579433
142;61338;4909914;6964;8209;4612143
143;61793;4942227;6964;8267;4644853
144;62248;4974540;6964;8325;4677563
145;62703;5006853;6964;8383;4710273
146;63158;5039166;6964;8441;4742983
147;63613;5071479;6964;8499;4775693
148;64068;5103792;6964;8557;4808403
149;64523;5136105;6964;8615;4841113
150;64979;5168418;6964;8673;4873823
151;65434;5200731;6964;8731;4906533
152;65889;5233044;6964;8789;4939243
153;66343;5265357;6964;8847;4971953
154;66798;5297670;6964;8905;5004663
155;67253;5329983;6964;8963;5037373
156;67708;5362296;6964;9021;5070083
157;68163;5394609;6964;9079;5102793
158;68618;5426922;6964;9137;5135503
159;69073;5459235;6964;9195;5168213
160;69528;5491548;6964;9253;5200923
161;69983;5523861;6964;9311;5233633
162;70438;5556174;6964;9369;5266343
163;70893;5588487;6964;9427;5299053
164;71349;5620800;6964;9485;5331763
165;71804;5653113;6964;9543;5364473
166;72259;5685426;6964;9601;5397183
