packet; cpu; lpm; IRQ; transmit; listen
1;1852;349460;10;267;188
2;2643;381436;10;534;32681
3;3441;413406;10;801;65174
4;4239;445376;11;1068;97667
5;5159;477225;11;1335;130160
6;6088;509064;11;1602;162653
7;7017;540903;11;1869;195146
8;7945;572742;10;2136;227639
9;8874;604581;11;2403;260132
10;9803;636420;11;2670;292625
11;10734;668257;11;2937;325118
12;11668;700091;11;3204;357611
13;12602;731925;11;3471;390104
14;13536;763759;11;3738;422597
15;14470;795593;11;4005;455090
16;15405;827427;11;4272;487583
17;16339;859261;11;4539;520076
18;17251;891117;11;4806;552569
19;18058;923077;11;5073;585062
20;18866;955037;10;5340;617555
21;19674;986997;10;5607;650048
22;20482;1018957;10;5874;682541
23;21293;1050914;10;6141;715034
24;22104;1082871;10;6408;747527
25;22915;1114828;10;6675;780020
26;23726;1146785;10;6942;812513
27;24538;1178742;10;7209;845006
28;25348;1210699;10;7476;877499
29;26159;1242656;10;7743;909992
30;26970;1274613;10;8010;942485
31;27781;1306570;10;8277;974978
32;28592;1338527;10;8544;1007471
33;29406;1370481;10;8811;1039964
34;30220;1402435;10;9078;1072457
35;31034;1434389;10;9345;1104950
36;31848;1466343;10;9612;1137443
37;32663;1498297;10;9879;1169936
38;33477;1530251;10;10146;1202429
39;34294;1562202;10;10413;1234922
40;35111;1594153;10;10680;1267416
41;35929;1626103;10;10947;1299909
42;36747;1658053;10;11214;1332402
43;37565;1690003;130;11481;1364895
44;38386;1721950;256;11748;1397388
45;39207;1753897;382;12015;1429881
46;40029;1785844;508;12282;1462374
47;40850;1817791;634;12549;1494867
48;41670;1849738;760;12816;1527360
49;42491;1881685;886;13083;1559853
50;43312;1913632;1012;13350;1592346
51;44135;1945577;1138;13617;1624839
52;44958;1977522;1264;13884;1657332
53;45781;2009467;1390;14151;1689824
54;46605;2041411;1516;14418;1722316
55;47429;2073355;1642;14685;1754808
56;48254;2105299;1768;14952;1787300
57;49078;2137243;1894;15219;1819792
58;49902;2169187;2020;15486;1852284
59;50725;2201131;2146;15753;1884776
60;51548;2233076;2272;16020;1917268
61;52371;2265021;2397;16287;1949760
62;53194;2296966;2524;16554;1982252
63;54017;2328911;2649;16821;2014744
64;54841;2360855;2775;17088;2047236
65;55665;2392799;2901;17356;2079728
66;56489;2424743;3028;17624;2112220
67;57314;2456687;3154;17892;2144712
68;58138;2488631;3280;18160;2177204
