,sent:,Received,sent_data,sent_timestamp,sent_packet,received_data,received_timestamp,received_packet,latency
0,"20180516,23:20:10.148,sent packet '1'","20180516,23:20:10.152,unicast message '1' received from 2D:C8",20180516,23:20:10.148,sent packet '1',20180516,23:20:10.152,unicast message '1' received from 2D:C8,4000000
1,"20180516,23:20:11.144,sent packet '2'","20180516,23:20:11.148,unicast message '2' received from 2D:C8",20180516,23:20:11.144,sent packet '2',20180516,23:20:11.148,unicast message '2' received from 2D:C8,4000000
2,"20180516,23:20:12.140,sent packet '3'","20180516,23:20:12.144,unicast message '3' received from 2D:C8",20180516,23:20:12.140,sent packet '3',20180516,23:20:12.144,unicast message '3' received from 2D:C8,4000000
3,"20180516,23:20:13.138,sent packet '4'","20180516,23:20:13.141,unicast message '4' received from 2D:C8",20180516,23:20:13.138,sent packet '4',20180516,23:20:13.141,unicast message '4' received from 2D:C8,3000000
4,"20180516,23:20:14.133,sent packet '5'","20180516,23:20:14.138,unicast message '5' received from 2D:C8",20180516,23:20:14.133,sent packet '5',20180516,23:20:14.138,unicast message '5' received from 2D:C8,5000000
5,"20180516,23:20:15.131,sent packet '6'","20180516,23:20:15.134,unicast message '6' received from 2D:C8",20180516,23:20:15.131,sent packet '6',20180516,23:20:15.134,unicast message '6' received from 2D:C8,3000000
6,"20180516,23:20:16.127,sent packet '7'","20180516,23:20:16.131,unicast message '7' received from 2D:C8",20180516,23:20:16.127,sent packet '7',20180516,23:20:16.131,unicast message '7' received from 2D:C8,4000000
7,"20180516,23:20:17.123,sent packet '8'","20180516,23:20:17.127,unicast message '8' received from 2D:C8",20180516,23:20:17.123,sent packet '8',20180516,23:20:17.127,unicast message '8' received from 2D:C8,4000000
8,"20180516,23:20:18.121,sent packet '9'","20180516,23:20:18.124,unicast message '9' received from 2D:C8",20180516,23:20:18.121,sent packet '9',20180516,23:20:18.124,unicast message '9' received from 2D:C8,3000000
9,"20180516,23:20:19.117,sent packet '10'","20180516,23:20:19.120,unicast message '10' received from 2D:C8",20180516,23:20:19.117,sent packet '10',20180516,23:20:19.120,unicast message '10' received from 2D:C8,3000000
10,"20180516,23:20:20.114,sent packet '11'","20180516,23:20:20.118,unicast message '11' received from 2D:C8",20180516,23:20:20.114,sent packet '11',20180516,23:20:20.118,unicast message '11' received from 2D:C8,4000000
11,"20180516,23:20:21.109,sent packet '12'","20180516,23:20:21.114,unicast message '12' received from 2D:C8",20180516,23:20:21.109,sent packet '12',20180516,23:20:21.114,unicast message '12' received from 2D:C8,5000000
12,"20180516,23:20:22.106,sent packet '13'","20180516,23:20:22.110,unicast message '13' received from 2D:C8",20180516,23:20:22.106,sent packet '13',20180516,23:20:22.110,unicast message '13' received from 2D:C8,4000000
13,"20180516,23:20:23.102,sent packet '14'","20180516,23:20:23.107,unicast message '14' received from 2D:C8",20180516,23:20:23.102,sent packet '14',20180516,23:20:23.107,unicast message '14' received from 2D:C8,5000000
14,"20180516,23:20:24.099,sent packet '15'","20180516,23:20:24.103,unicast message '15' received from 2D:C8",20180516,23:20:24.099,sent packet '15',20180516,23:20:24.103,unicast message '15' received from 2D:C8,4000000
15,"20180516,23:20:25.096,sent packet '16'","20180516,23:20:25.100,unicast message '16' received from 2D:C8",20180516,23:20:25.096,sent packet '16',20180516,23:20:25.100,unicast message '16' received from 2D:C8,4000000
16,"20180516,23:20:26.092,sent packet '17'","20180516,23:20:26.097,unicast message '17' received from 2D:C8",20180516,23:20:26.092,sent packet '17',20180516,23:20:26.097,unicast message '17' received from 2D:C8,5000000
17,"20180516,23:20:27.088,sent packet '18'","20180516,23:20:27.092,unicast message '18' received from 2D:C8",20180516,23:20:27.088,sent packet '18',20180516,23:20:27.092,unicast message '18' received from 2D:C8,4000000
18,"20180516,23:20:28.086,sent packet '19'","20180516,23:20:28.089,unicast message '19' received from 2D:C8",20180516,23:20:28.086,sent packet '19',20180516,23:20:28.089,unicast message '19' received from 2D:C8,3000000
19,"20180516,23:20:29.081,sent packet '20'","20180516,23:20:29.086,unicast message '20' received from 2D:C8",20180516,23:20:29.081,sent packet '20',20180516,23:20:29.086,unicast message '20' received from 2D:C8,5000000
20,"20180516,23:20:30.078,sent packet '21'","20180516,23:20:30.083,unicast message '21' received from 2D:C8",20180516,23:20:30.078,sent packet '21',20180516,23:20:30.083,unicast message '21' received from 2D:C8,5000000
21,"20180516,23:20:31.074,sent packet '22'","20180516,23:20:31.079,unicast message '22' received from 2D:C8",20180516,23:20:31.074,sent packet '22',20180516,23:20:31.079,unicast message '22' received from 2D:C8,5000000
