;sent:;received;sent_data;sent_timestamp;sent_packet;received_data;received_timestamp;received_packet;latency
0;20180516,23:32:12.763,sent packet '1';20180516,23:32:12.776,unicast message '1' received from 2D:C8;20180516;23:32:12.763;sent packet '1';20180516;23:32:12.776;unicast message '1' received from 2D:C8;13000000
1;20180516,23:32:13.759,sent packet '2';20180516,23:32:13.773,unicast message '2' received from 2D:C8;20180516;23:32:13.759;sent packet '2';20180516;23:32:13.773;unicast message '2' received from 2D:C8;14000000
2;20180516,23:32:14.755,sent packet '3';20180516,23:32:14.769,unicast message '3' received from 2D:C8;20180516;23:32:14.755;sent packet '3';20180516;23:32:14.769;unicast message '3' received from 2D:C8;14000000
3;20180516,23:32:15.752,sent packet '4';20180516,23:32:15.765,unicast message '4' received from 2D:C8;20180516;23:32:15.752;sent packet '4';20180516;23:32:15.765;unicast message '4' received from 2D:C8;13000000
4;20180516,23:32:16.749,sent packet '5';20180516,23:32:16.762,unicast message '5' received from 2D:C8;20180516;23:32:16.749;sent packet '5';20180516;23:32:16.762;unicast message '5' received from 2D:C8;13000000
5;20180516,23:32:17.745,sent packet '6';20180516,23:32:17.758,unicast message '6' received from 2D:C8;20180516;23:32:17.745;sent packet '6';20180516;23:32:17.758;unicast message '6' received from 2D:C8;13000000
6;20180516,23:32:18.741,sent packet '7';20180516,23:32:18.755,unicast message '7' received from 2D:C8;20180516;23:32:18.741;sent packet '7';20180516;23:32:18.755;unicast message '7' received from 2D:C8;14000000
7;20180516,23:32:19.738,sent packet '8';20180516,23:32:19.752,unicast message '8' received from 2D:C8;20180516;23:32:19.738;sent packet '8';20180516;23:32:19.752;unicast message '8' received from 2D:C8;14000000
8;20180516,23:32:20.735,sent packet '9';20180516,23:32:20.748,unicast message '9' received from 2D:C8;20180516;23:32:20.735;sent packet '9';20180516;23:32:20.748;unicast message '9' received from 2D:C8;13000000
9;20180516,23:32:21.731,sent packet '10';20180516,23:32:21.745,unicast message '10' received from 2D:C8;20180516;23:32:21.731;sent packet '10';20180516;23:32:21.745;unicast message '10' received from 2D:C8;14000000
10;20180516,23:32:22.728,sent packet '11';20180516,23:32:22.741,unicast message '11' received from 2D:C8;20180516;23:32:22.728;sent packet '11';20180516;23:32:22.741;unicast message '11' received from 2D:C8;13000000
11;20180516,23:32:23.724,sent packet '12';20180516,23:32:23.738,unicast message '12' received from 2D:C8;20180516;23:32:23.724;sent packet '12';20180516;23:32:23.738;unicast message '12' received from 2D:C8;14000000
12;20180516,23:32:24.721,sent packet '13';20180516,23:32:24.734,unicast message '13' received from 2D:C8;20180516;23:32:24.721;sent packet '13';20180516;23:32:24.734;unicast message '13' received from 2D:C8;13000000
13;20180516,23:32:25.717,sent packet '14';20180516,23:32:25.731,unicast message '14' received from 2D:C8;20180516;23:32:25.717;sent packet '14';20180516;23:32:25.731;unicast message '14' received from 2D:C8;14000000
14;20180516,23:32:26.713,sent packet '15';20180516,23:32:26.727,unicast message '15' received from 2D:C8;20180516;23:32:26.713;sent packet '15';20180516;23:32:26.727;unicast message '15' received from 2D:C8;14000000
15;20180516,23:32:27.710,sent packet '16';20180516,23:32:27.724,unicast message '16' received from 2D:C8;20180516;23:32:27.710;sent packet '16';20180516;23:32:27.724;unicast message '16' received from 2D:C8;14000000
16;20180516,23:32:28.707,sent packet '17';20180516,23:32:28.720,unicast message '17' received from 2D:C8;20180516;23:32:28.707;sent packet '17';20180516;23:32:28.720;unicast message '17' received from 2D:C8;13000000
17;20180516,23:32:29.703,sent packet '18';20180516,23:32:29.717,unicast message '18' received from 2D:C8;20180516;23:32:29.703;sent packet '18';20180516;23:32:29.717;unicast message '18' received from 2D:C8;14000000
